0.000000,-819,0,0,0
0.000000,-819,0,0,0
0.002930,-819,0,0,0
0.022593,-819,0,0,0
0.041750,-819,0,0,0
0.061939,-819,0,0,0
0.082128,-819,0,0,0
0.101659,-819,0,0,0
0.123508,-819,0,0,0
0.143003,-819,0,0,0
0.163274,-819,0,0,0
0.182893,-819,0,0,0
0.203158,-819,0,0,0
0.223138,-819,0,0,0
0.241926,-819,0,0,0
0.263013,439,-18,18,40
0.282304,444,-36,36,36
0.302525,446,-53,53,32
0.322718,447,-66,70,28
0.340962,447,-62,85,24
0.361559,447,-62,102,19
0.382353,445,-62,101,15
0.402965,441,-62,98,10
0.422877,438,-62,91,5
0.443114,438,-61,81,1
0.463464,442,-58,69,-5
0.482899,459,-53,54,-9
0.502602,490,-46,38,-10
0.523305,526,-38,23,-11
0.543501,566,-28,11,-13
0.562083,606,-20,2,-15
0.584210,659,-11,-6,-16
0.602621,697,-4,-11,-18
0.622307,730,3,-14,-19
0.641958,765,8,-15,-20
0.662605,778,12,-15,-20
0.682143,781,14,-14,-20
0.702310,776,14,-12,-20
0.723726,763,13,-9,-19
0.743465,748,11,-7,-19
0.762954,735,8,-5,-18
0.781777,715,5,-3,-18
0.801665,705,1,-3,-17
0.822260,693,-2,-2,-17
0.842462,688,-5,-2,-16
0.862858,684,-8,-3,-16
0.881850,682,-10,-3,-15
0.901932,681,-12,-4,-14
0.924060,682,-13,-4,-14
0.941587,683,-14,-5,-13
0.963959,684,-15,-6,-12
0.983392,686,-15,-6,-11
1.002672,556,-16,-7,-10
1.022000,354,-17,-8,-9
1.041335,190,-18,-9,-8
1.064064,96,-19,-10,-7
1.082909,45,-21,-11,-6
1.102344,58,-43,-32,-3
1.122181,71,-26,-47,-1
1.141398,78,-45,-61,0
1.161610,96,-32,-74,1
1.183013,130,-10,-89,3
1.201876,168,12,-87,4
1.222682,213,16,-80,5
1.241387,226,22,-73,6
1.263545,262,29,-64,8
1.281771,273,14,-56,10
1.302939,260,41,-48,11
1.323215,259,39,-33,12
1.341641,258,40,-28,13
1.361889,269,41,-23,13
1.383194,270,40,-18,14
1.403384,272,37,-15,14
1.423077,263,35,-13,14
1.441889,264,48,-11,13
1.461970,256,35,-10,13
1.483197,256,43,-9,14
1.502204,260,48,-8,14
1.522581,256,50,-7,15
1.541728,263,63,-1,14
1.561529,266,64,0,15
1.584009,259,65,-3,15
1.603831,259,61,-6,14
1.623224,256,63,-7,14
1.642067,249,81,-12,14
1.662376,246,79,-12,13
1.683664,242,78,-7,13
1.704069,241,71,-8,13
1.723521,242,54,-7,12
1.743321,243,59,-5,12
1.763188,241,51,-3,11
1.782676,243,38,-3,11
1.802151,247,42,3,11
1.822515,251,26,3,10
1.842397,253,16,-11,10
1.861754,256,12,5,10
1.881974,260,4,-2,9
1.901466,259,10,1,9
1.923482,264,-5,-6,9
1.943009,264,-6,-3,8
1.963337,260,-20,2,8
1.982327,255,-18,4,8
2.001824,253,-42,2,7
2.022067,254,-54,2,7
2.043940,245,-59,8,6
2.063974,245,-70,26,6
2.082870,239,-73,27,6
2.102870,237,-77,50,5
2.122670,231,-81,66,5
2.141946,222,-76,79,5
2.161917,220,-89,85,4
2.181980,224,-85,76,4
2.201503,224,-57,81,4
2.223657,232,-56,68,3
2.243056,237,-46,61,3
2.262974,249,-37,53,2
2.282312,265,-30,46,1
2.302025,279,-23,40,0
2.324251,297,-17,35,-1
2.343500,313,-13,31,-2
2.363294,321,-10,27,-2
2.382667,330,-8,24,-3
2.401909,340,-7,22,-3
2.422258,347,-7,20,-4
2.443857,353,-6,19,-4
2.464134,357,-13,14,-4
2.483997,367,-8,15,-4
2.503561,365,-6,15,-3
2.523579,373,-9,13,-3
2.543847,377,-11,10,-3
2.563492,389,-8,11,-3
2.582930,398,-10,9,-3
2.602752,401,-8,9,-2
